Year,Month,Day,DOY,Date,Station,Depth,time_towed_min,distance_towed_km,DO_mgperL,temp_c,salinity_ppt,PDO,Avg.Upwelling.INAex,Alligatorfish.spp.,Arrowtooth.FlouNAer,Big.Skate,Big.skate,Bigeye.Poacher,Black.Rockfish,Blackbelly.Eelpout,Blackfin.Poacher,SleNAer.Sole,Warty.Poacher,Wattled.Eelpout,Whitebait.Smelt,Whitebarred.Prickleback,Yellowtail.Rockfish,Notes
2012,7,6,188,7/6/2012,NH10,80,5,298,1.95604,7.1235,33.9019,-1.52,126,0,0,0,0,0,0,0,0,1,47,0,0,0,0,NA
2009,8,22,234,8/22/2009,NH10,80,NA,425,1.335,7.63,NA,0.09,33,0,0,10,0,0,0,0,0,35,32,0,0,0,0,NA
2008,8,27,240,8/27/2008,NH10,80,10,602.7685111,2.25,7.93,NA,-1.7,35,0,0,0,0,0,0,0,0,70,41,0,0,0,0,NA
2013,9,18,262,9/18/2012,NH10,79.84,10,652,0.93426,7.5872,33.8336,-2.21,74,0,0,0,0,0,0,0,0,55,37,0,0,0,0,NA
2013,6,28,179,6/28/2013,NH10,78.6,10,642,1.21251,7.0718,33.9145,-0.78,41,0,2,0,0,0,0,0,0,0,46,0,0,0,0,NA
2012,7,30,212,7/30/2012,NH10,78.6,10,616,1.29243,7.2866,33.9057,-1.52,126,0,0,0,0,0,0,0,0,23,31,0,0,0,0,NA
2013,8,1,213,8/1/2013,NH10,78.6,10,668,1.64772,6.9984,33.9341,-1.04,30,0,0,0,0,0,0,0,0,3,29,0,0,0,0,NA
2012,8,7,220,8/7/2012,NH10,78.6,10,576,1.20085,7.2596,33.9202,-1.93,76,0,0,0,0,0,0,0,0,43,31,0,0,0,0,NA
2008,8,27,240,8/27/2008,NH10,78,11,648.1092982,2.25,7.94,NA,-1.7,35,0,0,0,0,0,0,0,0,62,31,0,0,0,0,NA
2008,8,11,224,8/11/2008,NH07,73.2,10,588.2879211,1.2099,7.4503,NA,-1.7,35,0,0,0,0,0,0,0,0,87,46,0,0,0,0,NA
2010,8,11,223,8/11/2010,NH05,63.6,10,347,1.7442,6.8,NA,-1.27,64,0,0,NA,NA,NA,0,0,0,4,34,0,0,0,0,NA
2010,7,20,201,7/20/2010,NH05,60,10,763,1.97285,6.8,NA,-1.05,131,0,0,0,0,0,0,0,0,0,32,0,0,0,0,NA
2008,7,26,208,7/26/2008,NH05,60,10,560.1785405,1.80989,7.285,NA,-1.67,62,0,0,0,0,0,0,0,0,0,48,0,0,0,0,NA
2008,8,11,224,8/11/2008,NH05,60,10,560.1785405,2.101,7.7142,NA,-1.7,35,0,0,0,0,0,0,0,0,332,38,0,0,0,0,NA
2008,8,25,238,8/25/2008,NH05,60,12,659.3781087,3.69,8.76,NA,-1.7,35,0,0,0,0,0,0,0,0,60,35,0,0,0,0,NA
2008,8,27,240,8/27/2008,NH05,60,10,560.1785405,2.5,8.17,NA,-1.7,35,0,0,0,0,0,0,0,0,217,40,0,0,0,0,NA
2008,8,28,241,8/28/2008,NH05,60,10,560.1785405,2.46,8.04,NA,-1.7,35,0,0,0,NA,0,0,0,0,149,36,0,0,0,0,NA
2012,7,27,209,7/27/2012,NH05,58.6,10,432,1.86452,7.3794,33.8391,-1.52,126,0,0,0,0,0,0,0,0,0,39,0,0,0,0,NA
2013,8,1,213,8/1/2013,NH05,58.5,10,706,1.90633,7.1867,33.9233,-1.04,30,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA
2012,9,18,262,9/18/2012,NH05,58.46,10,644,1.09227,7.7792,33.7554,-2.21,74,0,0,0,0,0,0,0,0,101,34,0,0,0,0,NA
2012,7,6,188,7/6/2012,NH05,57.9,5,294,2.21533,7.3556,33.8366,-1.52,126,0,0,0,0,0,0,0,0,23,35,0,0,0,0,NA
2012,8,7,220,8/7/2012,NH05,57.2,10,534,1.17801,7.4043,33.8201,-1.93,76,0,0,0,0,0,0,0,0,221,30,0,0,0,0,NA
2013,6,28,179,6/28/2013,NH05,56.6,11,646,1.58876,7.5475,33.7811,-0.78,41,0,0,0,0,0,0,0,0,45,28,0,0,0,0,NA
2012,7,30,212,7/30/2012,NH05,56.1,10,566,1.39353,7.3121,33.8688,-1.52,126,0,0,0,0,0,0,0,0,1,29,0,0,0,0,NA
2009,8,22,234,8/22/2009,NH05,54.8,10,145,1.584,7.83,NA,0.09,33,0,0,0,0,1,0,0,0,83,23,0,0,0,0,NA
2009,7,3,184,7/3/2009,NH05,53.6,10,440,1.881,7.17,33.9,-0.53,71,0,0,16,0,0,0,0,0,0,34,0,0,0,0,NA
2010,8,30,242,8/30/2010,NPT50N,53,10,472,1.24083,7.2117,NA,-1.27,64,0,0,0,0,0,0,0,0,0,27,0,0,0,0,NA
2011,8,11,223,8/11/2011,MB50,52.4,10,494,1.57418,7.3337,NA,-1.74,78,0,0,1,1,0,0,0,0,0,21,0,0,0,0,NA
2011,8,11,223,8/11/2011,MB50,52.2,10,520,1.53777,7.3421,NA,-1.74,78,0,0,0,0,0,0,0,0,3,23,0,0,0,0,NA
2011,5,1,121,5/1/2011,NPT50N,50.3,10,663,2.37726,7.9295,NA,-0.37,18,1,0,0,0,0,0,0,0,497,25,0,0,0,0,NA
2013,8,1,213,8/1/2013,NH03,50,10,606,2.08379,7.2731,33.9161,-1.04,30,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA
2011,8,11,223,8/11/2011,NH05,49.2,12,676,1.53777,7.3421,NA,-1.74,78,0,0,0,0,0,0,0,0,32,20,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB50,49.1,5,40,2.04047,7.9556,NA,-0.69,47,0,0,0,0,0,0,0,0,181,30,0,0,0,0,NA
2012,7,27,209,7/27/2012,NH03,47.7,10,558,1.81776,7.4403,33.801,-1.52,126,0,0,0,0,0,0,0,0,45,20,0,0,0,0,NA
2008,8,26,239,8/26/2008,MB40,47,10,532.4950595,5.2,10.82,NA,-1.7,35,0,0,0,0,0,0,0,0,0,23,0,0,0,0,NA
2012,7,6,188,7/6/2012,NH03,46.7,5,390,1.5638,7.354,33.825,-1.52,126,0,0,0,0,0,0,0,0,2,30,0,0,0,0,NA
2012,7,30,212,7/30/2012,NH03,46.6,8,570,1.6,7.4,NA,-1.52,126,0,0,0,0,0,0,0,0,55,28,0,0,0,0,NA
2012,8,7,220,8/7/2012,NH03,46.5,10,496,1.26202,7.5587,33.7473,-1.93,76,0,0,0,0,0,0,0,0,2,20,0,0,0,0,NA
2010,8,30,242,8/30/2010,NPT40N,44.2,10,381,1.27354,7.2119,NA,-1.27,64,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA
2008,8,29,242,8/29/2008,MB40,44,13,674.9059163,2.53,8.19,NA,-1.7,35,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA
2011,8,11,223,8/11/2011,MB 40,43.6,11,303,1.64628,7.5033,NA,-1.74,78,0,0,0,0,0,0,0,0,45,21,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB40,43,10,523.9770654,1.64815,7.6845,NA,-1.86,83,0,0,0,0,0,0,0,0,0,21,0,0,0,0,NA
2011,8,11,223,8/11/2011,NH05,43,10,442,2.54084,7.9355,NA,-1.74,78,0,0,0,0,0,0,0,0,99,34,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB40,42.5,10,522.9123161,1.72024,7.7145,NA,-1.86,83,0,0,0,0,0,0,0,0,47,31,0,0,0,0,NA
2009,8,22,234,8/22/2009,MB40,42.5,11,371,1.5,7.8,NA,0.09,33,0,0,0,0,0,0,0,0,35,30,0,0,0,0,NA
2010,6,25,176,6/25/2010,MB40,42.2,10,440,2.162,7.8637,NA,-0.22,47,0,0,0,0,0,0,0,0,151,28,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB40,42,10,521.8475669,1.69809,7.7011,NA,-1.86,83,0,0,0,0,0,0,0,0,3,34,0,0,0,0,NA
2011,6,6,157,6/6/2011,NPT40N,41.9,5,7,2.97825,8.3199,NA,-0.69,47,0,0,0,0,0,0,0,0,143,28,0,0,0,0,NA
2012,7,6,188,7/6/2012,MB40,41.9,5,338,1.47778,7.3918,33.8139,-1.52,126,0,0,0,0,0,0,0,0,2,33,0,0,0,0,NA
2012,7,27,209,7/27/2012,MB40,41.9,10,456,1.93569,7.5261,33.7529,-1.52,126,0,0,0,0,0,0,0,0,0,27,0,0,0,0,NA
2010,8,30,242,8/30/2010,MB40,41.5,10,505,1.32326,7.279,NA,-1.27,64,0,0,0,0,0,0,0,0,0,28,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB40,41.4,10,520.5698678,1.74938,7.7463,NA,-1.86,83,0,0,0,0,0,0,0,0,131,19,0,0,0,0,NA
2012,8,7,220,8/7/2012,MB40,41.33,10,552,3.29399,8.6384,33.6011,-1.93,76,0,0,0,0,0,0,0,0,89,19,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB40,41.1,5,82,2.46346,8.2542,NA,-0.69,47,0,0,0,0,0,0,0,0,178,18,0,0,0,0,NA
2011,7,16,197,7/16/2011,MB40,41.1,10,519.9310182,1.69368,7.7399,NA,-1.86,83,0,0,0,0,0,0,0,0,68,16,0,0,0,0,NA
2011,5,1,121,5/1/2011,NPT40N,41,10,312,2.56752,8.0556,NA,-0.37,18,0,0,0,0,0,0,0,0,84,16,0,0,0,0,NA
2009,7,3,184,7/3/2009,MB40,40.1,10,367,1.56,7.32,33.9,-0.53,71,NA,0,0,NA,0,0,0,0,0,17,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB40,40,5,74,2.53875,8.272,NA,-0.69,47,0,0,0,0,0,0,0,0,716,21,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB40,40,10,517.5885698,1.94536,7.8257,NA,-1.86,83,0,0,0,0,0,0,0,0,23,21,0,0,0,0,NA
2010,7,20,201,7/20/2010,MB40,40,10,523,1.64602,6.8,NA,-1.05,131,0,0,0,0,0,0,0,0,0,16,0,0,0,0,NA
2008,7,26,208,7/26/2008,MB40,40,10,517.5885698,1.73075,7.2551,NA,-1.67,62,0,0,0,0,0,0,0,0,0,24,0,0,0,2,NA
2010,8,11,223,8/11/2010,MB40,40,10,562,2.0882,6.8,NA,-1.27,64,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA
2008,8,11,224,8/11/2008,MB40,40,10,517.5885698,4.0855,8.2753,NA,-1.7,35,0,0,0,0,0,0,0,0,100,20,0,0,0,0,NA
2008,8,26,239,8/26/2008,MB40,40,12,616.7881381,5.2,10.82,NA,-1.7,35,0,0,NA,0,0,0,0,0,1,20,0,0,0,0,NA
2012,9,18,262,9/18/2012,MB40,40,10,548,1.82135,8.0117,33.7208,-2.21,74,0,0,0,0,0,0,0,0,874,25,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB40,39.8,7,368.3633177,1.90363,7.8017,NA,-1.86,83,0,0,0,0,0,0,0,0,68,23,0,0,0,0,NA
2009,8,22,234,8/22/2009,MB30,38.6,11,371,1.5,7.8,NA,0.09,33,0,0,0,0,0,0,0,0,0,15,0,0,0,0,NA
2013,8,1,213,8/1/2013,MB40,38.4,1,614,2.0536,7.2738,33.9083,-1.04,30,0,0,0,0,0,0,0,0,0,17,0,0,0,0,NA
2011,7,16,197,7/16/2011,MB40,38.1,6,315.1433861,1.96548,7.8754,NA,-1.86,83,0,0,0,0,0,0,0,0,5,21,0,0,0,0,NA
2010,7,20,201,7/20/2010,MB30,38,10,529,1.61533,6.8,NA,-1.05,131,1,0,0,1,0,0,0,0,0,16,0,0,0,0,NA
2011,8,11,223,8/11/2011,MB40,38,10,484,2.54084,7.9355,NA,-1.74,78,0,0,0,0,0,0,0,0,607,15,0,0,0,0,NA
2012,7,30,212,7/30/2012,MB40,33.8,10,458,1.70986,7.5136,33.7668,-1.52,126,0,0,0,0,0,0,0,0,67,25,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,33.7,10,504.1727291,1.92712,7.8477,NA,-1.86,83,0,0,0,0,0,0,0,0,52,15,0,0,0,0,NA
2011,5,1,121,5/1/2011,NPT30N,33.1,10,338,3.16683,8.2227,NA,-0.37,18,0,0,0,0,0,0,0,0,1049,17,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,33.1,10,502.8950299,2.33056,8.1428,NA,-1.86,83,0,0,0,0,0,0,0,0,75,21,0,0,0,0,NA
2011,8,11,223,8/11/2011,NH03,33,10,414,2.56962,7.7514,NA,-1.74,78,0,0,0,0,0,0,0,0,68,18,0,0,0,0,NA
2008,8,29,242,8/29/2008,MB30,33,10,502.6820801,3.44,9.04,NA,-1.7,35,0,0,0,0,0,0,0,0,0,17,0,0,0,0,NA
2013,6,28,179,6/28/2013,MB40,32.9,10,610,2.66695,9.1359,33.4137,-0.78,41,0,0,0,0,0,0,0,0,0,24,0,48,0,0,NA
2009,7,3,184,7/3/2009,MB30,32.9,10,389,2.05,7.52,33.9,-0.53,71,0,0,0,0,0,0,0,0,23,19,0,0,0,0,NA
2010,6,25,176,6/25/2010,MN30,32.5,10,575,2.29,8.068,NA,-0.22,47,0,0,0,0,0,3,0,1,119,22,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,32.5,10,501.6173308,2.80351,8.5505,NA,-1.86,83,0,0,0,0,0,0,0,0,874,20,0,0,0,0,NA
2011,7,16,197,7/16/2011,MB30,32.4,6,303.0052444,2.16729,8.08,NA,-1.86,83,0,0,0,0,0,0,0,0,728,25,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB30,31.6,8,113,3.84327,9.0335,NA,-0.69,47,0,0,0,0,0,1,0,0,0,20,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,31.1,10,498.6360329,1.87188,7.8195,NA,-1.86,83,0,0,0,0,0,0,0,0,3,24,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,31.1,5,250.6371122,2.17037,7.8707,NA,-1.86,83,0,0,0,0,0,0,0,0,0,24,0,0,0,0,NA
2011,8,11,223,8/11/2011,MB30,31,12,622,1.99435,7.7097,NA,-1.74,78,0,0,0,0,0,0,0,0,83,1,0,0,0,0,NA
2010,8,30,242,8/30/2010,MB30,31,10,583,1.31459,7.273,NA,-1.27,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA
2012,9,18,262,9/18/2012,MB30,30.99,10,568,1.9266,8.0404,33.7192,-2.21,74,0,0,0,0,0,0,0,0,597,0,0,0,0,0,NA
2011,6,6,157,6/6/2011,NPT30N,30.4,NA,249.1464633,4.13717,9.0199,NA,-0.69,47,0,0,0,0,0,0,0,NA,7,0,0,0,0,0,NA
2010,8,11,223,8/11/2010,MB30,30.4,10,391,2.42677,6.8,NA,-1.27,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,30.2,10,496.7194842,2.12863,7.8922,NA,-1.86,83,0,0,0,0,0,0,0,0,124,1,0,0,0,0,NA
2008,7,26,208,7/26/2008,MB30,30,10,496.2935845,1.98779,7.3733,NA,-1.67,62,0,0,0,0,0,0,0,0,67,4,0,0,0,0,These are all fish species caught. Check Speadsheet from 12/19/1999 to see if other species were caught. Species IDs may not be correct.
2008,8,11,224,8/11/2008,MB30,30,10,496.2935845,NA,11.8768,NA,-1.7,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
2010,8,30,242,8/30/2010,MB30,30,10,391,1.53233,7.3478,NA,-1.27,64,0,0,0,0,0,0,0,0,56,1,0,0,0,0,NA
2012,7,6,188,7/6/2012,MB30,29.9,5,670,1.06868,7.586,33.722,-1.52,126,0,0,0,0,0,0,0,0,15,2,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB30,29.6,5,247.4428644,3.65002,8.9262,NA,-0.69,47,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB30,29.3,7,346.0035831,5.22221,9.7985,NA,-0.69,47,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
2012,7,30,212,7/30/2012,MB30,28.9,10,446,1.92532,7.6305,33.7138,-1.52,126,0,0,0,0,0,0,0,0,101,0,0,0,0,0,NA
2011,7,15,196,7/15/2011,MB30,28.3,10,492.673437,2.27498,7.9806,NA,-1.86,83,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA
2013,8,1,213,8/1/2013,MB30,28.3,10,568,2.3797,7.4182,33.916,NA,30,0,0,0,0,0,0,0,0,31,3,0,0,0,0,NA
2011,6,6,157,6/6/2011,MB30,28,6,293.6354509,3.96065,9.1756,NA,-0.69,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
2012,8,7,220,8/7/2012,MB30,26.88,10,470,3.83101,9.1538,33.4187,-1.93,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
2013,6,28,179,6/28/2013,MB30,25.6,10,548,4.91967,11.2522,32.7951,-0.78,41,0,0,0,0,0,0,0,0,0,9,0,0,0,0,NA
2013,6,28,179,6/28/2013,NH03,24.4,10,656,2.88062,9.083,33.4486,-0.78,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
